ridge_l2,variant,features,n_commits,mae,rmse,prediction_spearman
0.01,trajectory,main_256;main_512;main_1024,35,0.009903849776549928,0.021888456297026692,-0.2713455267581434
0.01,trajectory_plus_control,main_256;main_512;main_1024;control_fitness,35,0.005917051188493362,0.031839350562078546,0.013168032790534578
0.01,trajectory_plus_fork_to_zero,main_256;main_512;main_1024;probe_fitness,35,0.008891522284711328,0.04997299746312721,0.04426700384903114
0.01,trajectory_plus_both,main_256;main_512;main_1024;control_fitness;probe_fitness,35,0.005177964177849408,0.027870527416263714,0.03193948378980727
0.01,fork_vs_control_gain,paired comparison,35,-0.0029744710962179644,-0.0014835562312347874,nan
0.1,trajectory,main_256;main_512;main_1024,35,0.009949508921991044,0.021862381873269582,-0.2726062958551094
0.1,trajectory_plus_control,main_256;main_512;main_1024;control_fitness,35,0.0041255116920136435,0.021631041676502507,0.21671219922294674
0.1,trajectory_plus_fork_to_zero,main_256;main_512;main_1024;probe_fitness,35,0.00398333175269092,0.021436283420764847,0.4269804675058446
0.1,trajectory_plus_both,main_256;main_512;main_1024;control_fitness;probe_fitness,35,0.003617446029358251,0.019128592366418166,0.3006233868988001
0.1,fork_vs_control_gain,paired comparison,35,0.0001421799393227246,8.387717115230473e-06,nan
1.0,trajectory,main_256;main_512;main_1024,35,0.010174935122465211,0.02161029955165995,-0.23870561569224383
1.0,trajectory_plus_control,main_256;main_512;main_1024;control_fitness,35,0.003171500980122339,0.014092325221338927,-0.007424529126578007
1.0,trajectory_plus_fork_to_zero,main_256;main_512;main_1024;probe_fitness,35,0.0022984742727217137,0.009712929384006568,0.10870631324951949
1.0,trajectory_plus_both,main_256;main_512;main_1024;control_fitness;probe_fitness,35,0.002108912670241998,0.00955651373302847,0.29684107960790185
1.0,fork_vs_control_gain,paired comparison,35,0.0008730267074006251,0.00010425263292528704,nan
10.0,trajectory,main_256;main_512;main_1024,35,0.009449497933648278,0.019852898564514516,-0.2936191141378774
10.0,trajectory_plus_control,main_256;main_512;main_1024;control_fitness,35,0.005272395309314034,0.01454679059422488,-0.16039784622512865
10.0,trajectory_plus_fork_to_zero,main_256;main_512;main_1024;probe_fitness,35,0.00465477958217282,0.011298833385144253,-0.1587168207625072
10.0,trajectory_plus_both,main_256;main_512;main_1024;control_fitness;probe_fitness,35,0.003524953899653013,0.009903273662852492,-0.11220844962998082
10.0,fork_vs_control_gain,paired comparison,35,0.0006176157271412138,8.394548072697901e-05,nan
100.0,trajectory,main_256;main_512;main_1024,35,0.0073023891657316995,0.01787970453029878,-0.28241227772040123
100.0,trajectory_plus_control,main_256;main_512;main_1024;control_fitness,35,0.0065248482530243,0.016334218637476177,-0.15325348800898755
100.0,trajectory_plus_fork_to_zero,main_256;main_512;main_1024;probe_fitness,35,0.006285623002358367,0.014919911911536141,-0.15325348800898755
100.0,trajectory_plus_both,main_256;main_512;main_1024;control_fitness;probe_fitness,35,0.00570309453645375,0.013860920758790663,-0.14849058253156014
100.0,fork_vs_control_gain,paired comparison,35,0.00023922525066593408,4.420292704887606e-05,nan
