group_id,campaign,n_candidates,main_1024_regret,main_1024_top1_hit,main_1024_pairwise_accuracy,main_1024_reversal_accuracy,control_fitness_regret,control_fitness_top1_hit,control_fitness_pairwise_accuracy,control_fitness_reversal_accuracy,probe_fitness_regret,probe_fitness_top1_hit,probe_fitness_pairwise_accuracy,probe_fitness_reversal_accuracy
fork-to-zero-mechanism-v1-gpu0/ideas/idea-0003-decoupled-retention-and-write-gates/v001,fork-to-zero-mechanism-v1-gpu0,5,3.903309039626768e-06,0.0,0.8,0.0,3.903309039626768e-06,0.0,0.5,0.0,3.903309039626768e-06,0.0,0.75,0.25
fork-to-zero-mechanism-v1-gpu0/ideas/idea-0007-normalized-direction-gated-write-magnitude/v001,fork-to-zero-mechanism-v1-gpu0,4,0.0,1.0,0.6,0.0,3.904851834241052e-06,0.0,0.3,0.25,3.904851834241052e-06,0.0,0.4,0.0
fork-to-zero-mechanism-v1-gpu0/ideas/idea-0012-retention-conditioned-write-budget/v001,fork-to-zero-mechanism-v1-gpu0,5,0.0,1.0,0.7,0.0,0.0,1.0,0.7,0.0,0.0,1.0,0.85,0.5
fork-to-zero-mechanism-v1-gpu0/ideas/idea-0018-directional-state-norm-protection/v001,fork-to-zero-mechanism-v1-gpu0,4,1.951268997138489e-05,0.0,0.6666666666666666,0.0,1.951268997138489e-05,0.0,0.8333333333333334,0.5,1.951268997138489e-05,0.0,0.6666666666666666,0.0
fork-to-zero-mechanism-v1-gpu0/ideas/idea-0024-groupwise-feature-selective-retention/v001,fork-to-zero-mechanism-v1-gpu0,5,0.0,1.0,0.9,0.0,0.0,1.0,0.9,0.0,3.12888763188135e-05,0.0,0.8,0.0
fork-to-zero-mechanism-v1-gpu0/ideas/idea-0030-gate-confidence-recurrent-readout/v001,fork-to-zero-mechanism-v1-gpu0,4,0.0,1.0,1.0,nan,0.00037411906184506294,0.0,0.6666666666666666,nan,0.00037411906184506294,0.0,0.8333333333333334,nan
fork-to-zero-mechanism-v1-gpu1/ideas/idea-0001-bounded-input-dependent-retention/v001,fork-to-zero-mechanism-v1-gpu1,2,0.0,1.0,1.0,nan,0.0,1.0,1.0,nan,0.0,1.0,1.0,nan
fork-to-zero-mechanism-v1-gpu1/ideas/idea-0008-complementary-retention-write-coupling/v001,fork-to-zero-mechanism-v1-gpu1,5,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.5555555555555556,0.0,0.0,1.0,0.7777777777777778,0.3333333333333333
fork-to-zero-mechanism-v1-gpu1/ideas/idea-0012-mean-preserving-complementary-allocation/v001,fork-to-zero-mechanism-v1-gpu1,4,0.0,1.0,1.0,nan,0.0,1.0,1.0,nan,0.0,1.0,1.0,nan
fork-to-zero-mechanism-v1-gpu1/ideas/idea-0020-straight-through-retention-gradient-floor/v001,fork-to-zero-mechanism-v1-gpu1,3,0.0,1.0,1.0,nan,0.0,1.0,1.0,nan,0.0,1.0,1.0,nan
fork-to-zero-mechanism-v1-gpu1/ideas/idea-0023-unit-norm-delta-addressing/v001,fork-to-zero-mechanism-v1-gpu1,2,0.0,1.0,1.0,nan,1.1754007808534306e-05,0.0,0.0,nan,1.1754007808534306e-05,0.0,0.0,nan
fork-to-zero-mechanism-v1-gpu1/ideas/idea-0026-upper-tail-delta-addressing-cap/v001,fork-to-zero-mechanism-v1-gpu1,4,3.133223630089055e-05,0.0,0.8333333333333334,0.0,3.133223630089055e-05,0.0,0.8333333333333334,0.0,3.133223630089055e-05,0.0,0.8333333333333334,0.0
